YEAR,INSTNM,CITY,STATE,COUNTRY,INST_TYPE,NT_TUT_REV,INST_EXP,AVG_FAC_SAL,TS,TS_MEN,TS_WOM,TS_MAR,TS_DPEN,TS_VET,TS_PT,ST_FI_LO,ST_FI_M1,ST_FI_M2,ST_FI_H1,ST_FI_H2,HL_ED_MS,HL_ED_HS,HL_ED_PS,CPR
2010,Auburn University,Auburn,Alabama,United States,Public,12412,12261,6785,18790,0.5214,0.4786,0.04027206,0.870771434,0.016287811,0.0906,0.228924289,0.108824056,0.155718633,0.189547163,0.31698586,0.008468336,0.263254787,0.728276878,0.677
2010,Northern Arizona University,Flagstaff,Arizona,United States,Public,3927,5188,5773,13361,0.406,0.594,0.14730832,0.63507341,0.032463295,0.1456,0.357096248,0.156117455,0.158727569,0.146003263,0.182055465,0.031348511,0.336077058,0.632574431,0.4203
2010,Harding University,Searcy,Arkansas,United States,Private,6104,4978,5208,4078,0.4561,0.5439,0.087383943,0.84653195,0.009284544,0.0638,0.237028946,0.134352813,0.193883124,0.198798471,0.235936647,0.007357102,0.272778721,0.719864177,0.5764
2010,John Brown University,Siloam Springs,Arkansas,United States,Private,6207,4813,4946,1485,0.4559,0.5441,0.372430472,0.466747279,0.087061669,0.0296,0.243047158,0.189842805,0.241837969,0.194679565,0.130592503,0.039641944,0.34398977,0.616368286,0.5134
2010,Azusa Pacific University,Azusa,California,United States,Private,10271,4831,5738,3653,0.363,0.637,0.26719057,0.55913556,0.02632613,0.0233,0.212573674,0.126915521,0.174852652,0.217288802,0.268369352,0.041614124,0.314417823,0.643968054,0.6237
2010,Biola University,La Mirada,California,United States,Private,10674,6464,5629,2902,0.3877,0.6123,0.126120359,0.755441741,0.024327785,0.0875,0.220230474,0.115236876,0.185659411,0.227272727,0.251600512,0.023427042,0.272423025,0.704149933,0.5921
2010,Chapman University,Orange,California,United States,Private,12054,8019,7089,3115,0.444,0.556,0.329417646,0.357660585,0.059485129,0.0645,0.305173707,0.167708073,0.180204949,0.152461885,0.194451387,0.032848681,0.336564351,0.630586968,0.6208
2010,Fresno Pacific University,Fresno,California,United States,Private,8240,3308,5082,1049,0.3222,0.6778,0.254416961,0.577149588,0.030624264,0.0953,0.353356891,0.169611307,0.206124853,0.17196702,0.098939929,0.087365591,0.384408602,0.528225807,0.5678
2010,Mount Saint Mary's University,Los Angeles,California,United States,Private,12853,6159,5974,850,0.0494,0.9506,0.117857143,0.63125,0.015178571,0.2294,0.374107143,0.19375,0.186607143,0.123214286,0.122321429,0.130530974,0.33960177,0.529867257,0.5043
2010,Pepperdine University,Malibu,California,United States,Private,15135,8454,8416,2917,0.4261,0.5739,0.071981424,0.69504644,0.023219814,0.1591,0.255417957,0.108359133,0.17879257,0.159442725,0.297987616,0.017959184,0.238367347,0.743673469,0.6964
